date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-09-03,,,,,,,,,,
2024-09-04,14.4,6,23,0.1,,47,12.3,,1024.9,
2024-09-05,14.9,9.1,21,0.1,,75,11,,1025.2,
2024-09-06,13,9.3,17,1.4,,15,9.9,,1025,
2024-09-07,14.3,8,22,0,,54,11.3,,1024.6,
2024-09-08,13.2,6,18,0,,17,10.6,,1025.3,
2024-09-09,12.9,9,16,0.7,,17,8.3,,1026.1,
2024-09-10,14,6,24,0,,8,13.8,,1025.2,
2024-09-11,14.2,5,25,0,,24,10.1,,1024.3,
2024-09-12,15.3,6,25,0,,36,13.7,,1024.2,
2024-09-13,14.8,7,22.5,0,,30,11.4,,1024.5,
2024-09-14,16.3,8,25,0,,37,13.5,,1024.5,
2024-09-15,16.5,10,23,0.2,,40,12.6,,1024.3,
2024-09-16,15.3,11.3,20,1.2,,32,13.5,,1024.7,
2024-09-17,16.1,11.3,23,2.8,,38,14.1,,1024.6,
2024-09-18,16.8,9.4,24,0.2,,35,14.7,,1023.8,
2024-09-19,14.2,8.2,22,0.7,,32,13.3,,1023.7,
2024-09-20,13,7,19,5,,48,8.1,,1023.2,
2024-09-21,13.8,9.5,19,10.3,,337,8.5,,1023.7,
2024-09-22,14.9,8.4,21,5.8,,16,10.3,,1024.3,
2024-09-23,15.7,6,25,0,,18,11.6,,1024.7,
2024-09-24,15.6,6.5,24,0,,53,11.7,,1024.8,
2024-09-25,15.8,7,26,0.2,,42,9.8,,1024.4,
2024-09-26,15.9,7.3,26,1.2,,32,11.7,,1024.1,
2024-09-27,15.4,8.6,25,4.9,,138,8.4,,1024.2,
2024-09-28,14.4,10.6,21,10.5,,143,5.6,,1024.8,
2024-09-29,14,11.2,22,12.9,,59,6.4,,1023.9,
2024-09-30,14.7,11.2,21,7.8,,226,7.8,,1024,
2024-10-01,15.3,9.5,21,5,,197,7.7,,1024,
2024-10-02,13.4,1,24,1.1,,262,6.4,,1023.8,
2024-10-03,15.8,8.7,24,0.2,,23,8.6,,1024.3,
2024-10-04,15,9.1,22,4.3,,45,7.8,,1025.8,
2024-10-05,15.3,9.6,21,1.1,,213,7.3,,1026,
2024-10-06,15.5,10,20,4.9,,50,6.9,,1025.8,
2024-10-07,15,8.1,21,1.3,,46,7.7,,1024.4,
2024-10-08,14.4,7.8,19,3.9,,247,6.8,,1023.8,
2024-10-09,15,10.5,20,8.2,,263,7.5,,1024.2,
2024-10-10,15.6,9.3,25,13.4,,218,8.5,,1024.4,
2024-10-11,16.5,11.1,22,15.8,,82,7.4,,1023.8,
2024-10-12,16.5,10.3,23,0.3,,76,11.7,,1024.2,
2024-10-13,15.4,9,23,1.5,,42,13.8,,1026.5,
2024-10-14,13.9,7.7,21,1.7,,40,9.7,,1027,
2024-10-15,15,8,33,1.7,,56,10.7,,1026.7,
2024-10-16,15,5,25,0.2,,40,9.7,,1025.3,
2024-10-17,15,7,24,0.2,,66,10.2,,1024,
2024-10-18,16,7,26,0.1,,89,9.3,,1023.1,
2024-10-19,16.2,8,27,0.5,,214,10.7,,1022.3,
2024-10-20,15.8,8.9,26,0.8,,215,11.6,,1022.1,
2024-10-21,15.7,9,26,1.4,,198,11.8,,1022.8,
